,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
47009,S1897,iXeon,18.0,434359.3,625969.4,ERANGEL,2U4GBNA0YmmmkyfeUbbLylo9GoGQsU4Q7Ai7fGGjGQ6HBfgpBXyjRXi0CsKVyc-t,132,iTerrify,6.0,435487.9,625270.8
9515,S12K,yeats0307,47.0,445047.8,626890.0,ERANGEL,2U4GBNA0Ymn9kFuSzC-IE4VEMFh2S3BkxZ6yKMiZPb9uI9VwpdMKdDwQE2-ye26J,109,KingItay,3.0,445171.6,626997.9
20632,Down and Out,Henpiaoyi,6.0,401735.6,514131.7,MIRAMAR,2U4GBNA0Ymlk_B1eEbiA2DZYbgv_3fGsKUJwC5TVY7ahNAGyL4mVORwwkobmubhu,1148,vZeff,7.0,393030.5,505413.9
43897,S686,Lovevisuals,15.0,346951.5,136172.6,ERANGEL,2U4GBNA0YmnC3ivsvuSOfdrVc6b595xJhrCArxcMRN5oUyZKu_-Fa1hJwkPJDz64,352,008xiaozhang8,16.0,346786.0,136154.8
1261,M416,Surprisechild,5.0,289634.3,448548.3,ERANGEL,2U4GBNA0Ymlc7rVx0xWH7j4xfGd-zpHO2dN9AJ11-bFd9E-Jkmoa_BTnfqg_aOHQ,721,pooh-__-,3.0,292346.0,448255.9
29074,M416,Douyu164657,20.0,285025.7,492739.6,MIRAMAR,2U4GBNA0YmmF5cn3v9d4Hf4CI7Eamme3XS8bBtwDmdvrv64UWbhzyLJnqNU8CNn2,1122,Firewkros,24.0,293439.3,509432.3
33968,AKM,ayeeeefucboi,71.0,207435.7,288185.1,ERANGEL,2U4GBNA0YmmpuAmNSv3vx8Chf2ZHGFT_Pk7aqpnZAjdgo_UapN2_JqMxuyONI5ma,189,Svlar,78.0,207283.0,288844.3
18702,UMP9,VincentFam,31.0,439221.6,637857.1,ERANGEL,2U4GBNA0YmnpCYitdkU_ZtQHNail9_umcF1N6n7H-NjGC6DpA2y1xE-tdPXa9a-m,341,Trilllhouse,21.0,439889.8,638841.6
54001,SCAR-L,BigLongLong222,13.0,462997.6,389546.5,MIRAMAR,2U4GBNA0YmnxFUyZSCapTOjTHcLr_NwPHxlRZF4c45WpOvjBKFoX_G3tJTaG67QE,846,Yangbao93,27.0,458517.7,385877.3
43096,S1897,GoldenEagle22,28.0,357665.3,402674.3,ERANGEL,2U4GBNA0YmlFLjI3ofbZLlIqgy78-jts8QuwXcbiwOBHojD5DfdIyHAztN0bjyny,156,Crucifilth,10.0,357965.3,402200.5
15744,Kar98k,GuiTx,15.0,506099.0,435616.6,ERANGEL,2U4GBNA0Ymk1RHgbpquKEf2XGvs0Lf4hBM0pppK6ltkeeUpBTkUBBgaM9ptjLyK9,870,wwwbbb007,34.0,549125.5,432450.8
5546,Bluezone,,,,,ERANGEL,2U4GBNA0YmnTdCV0yjZ9FJT5KTQXu_J-mDD7JVI77_afKJCjBGNcQH8tMVM5wf0m,1767,shanlvbi666,3.0,299090.7,311491.4
33248,Down and Out,appar1008611,1.0,596259.5,299150.2,,2U4GBNA0Ymki2fEZaKAq604u-BjY_ZKZNxwHt6s9X_CaNR7BN0LAjKVCJORP5slk,937,Ly-ice,24.0,648020.8,330481.9
9538,Bluezone,,,,,ERANGEL,2U4GBNA0Ymn9kFuSzC-IE4VEMFh2S3BkxZ6yKMiZPb9uI9VwpdMKdDwQE2-ye26J,876,ooohehe,47.0,0.0,0.0
