,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
4330,Down and Out,jiaoshou_li,18.0,615378.9,372671.7,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,503.0,jiaoshou_li,18.0,615378.9,372671.7
1306,SCAR-L,yiliaf2,29.0,329025.7,551019.2,ERANGEL,2U4GBNA0YmnMiL8FxzK-xRalmDs8__VvvNzmntjlIzBi0DttiOYQ5ltAx4LN3Q0q,1097.0,DF7heartZ,36.0,332719.8,549481.9
877,AKM,Maerkk,1.0,706583.9,452973.0,ERANGEL,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,374.0,TheLnofJake,30.0,704187.0,455718.3
3709,Win94,FeverishAc3,22.0,364613.3,266823.0,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,200.0,asdgasgweg,24.0,366122.2,266365.1
946,Micro UZI,tongbaba350,39.0,704318.6,343896.0,ERANGEL,2U4GBNA0YmnXxPYMxq8uh3IZ_R74uPmFVfhHlxf6M3-PzRx-7ICrxPIahHemHE6H,229.0,fanjj,43.0,703563.2,343215.2
2024,AKM,BlackRegnier84,16.0,139622.7,602342.2,MIRAMAR,2U4GBNA0YmmGH1I8WFVMw7sv8wSx0Ln8CnZ74JHPXcRUu4y8429D-2bOMw41cYZ5,401.0,DeathDealerTitan,17.0,139424.9,602691.0
3666,S686,xingxingmemme,22.0,427955.4,187482.3,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,103.0,DandyHighwayman,15.0,427604.9,186772.1
6568,Micro UZI,KEYFEDEVAM,7.0,432884.3,637793.0,ERANGEL,2U4GBNA0YmklPmDKT1cDXoaHMN1y1wAsoa0LpWJvq0ECYyIqfcku0GqbF9TXMaiX,198.0,H4Y9F3,40.0,432991.9,637680.4
3183,M416,ZhouXiaoShou,1.0,464544.5,311286.4,ERANGEL,2U4GBNA0Ymm_5InGu4XxmbWrPJjpsdwDKldtKteYWNAiZwf0kk_eKg6SGWDmiikq,1767.0,zbcj999,7.0,463653.9,313630.2
4334,UMP9,Anna0312,15.0,530047.9,249597.9,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,336.0,TheGoodFortune,10.0,528720.3,248445.6
1019,M416,uselessly,1.0,367092.6,584384.0,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,1385.0,Lz_Captain,9.0,354087.5,570675.8
5198,M16A4,CaptainLuk,3.0,593359.3,297775.5,ERANGEL,2U4GBNA0YmnuJ2AtZa4s3YxcAHVDtQbra_TjEHEAjHBRpwb8-A_bhsdG5kFCzvK_,1252.0,zhongzhong135,11.0,593671.6,298847.1
2704,S12K,hampilein,5.0,0.0,0.0,ERANGEL,2U4GBNA0Ymn4K68JYbLzcXh5S2aPoQe1oJzDsd_lyNUfRddt9kkCPLgme76kr_A9,611.0,DJYANGYANG,10.0,522470.3,468600.8
1317,M416,SuSoda,14.0,157685.4,466070.3,ERANGEL,2U4GBNA0YmnMiL8FxzK-xRalmDs8__VvvNzmntjlIzBi0DttiOYQ5ltAx4LN3Q0q,1315.0,LiuDa98Kmin,25.0,157920.0,465876.5
1081,M16A4,biaji0,7.0,368349.6,402195.2,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,446.0,huangjunlong1,10.0,367467.2,404227.1
2166,M416,zhuchaosen,8.0,515266.8,652317.0,ERANGEL,2U4GBNA0YmkRFnEnlar5FbJrM9fzxmAkpXnhkbdlw89MM6k2sU8rq4IflvUQopVZ,1528.0,Cnm1314hh,11.0,510757.5,640676.8
446,AKM,TheScarletFlower,25.0,417469.2,330103.3,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,665.0,YangLin233333,21.0,417447.0,329788.1
6051,Down and Out,EVEN1982,1.0,358525.9,574103.5,ERANGEL,2U4GBNA0YmkjIvgdQAAyeZk0ZnYEpNtpJODztcsiH83QHqhfGTN1jSPP1lzCb4Jv,1103.0,BaoZha_boom,7.0,397438.3,556751.0
330,AKM,NineHours,10.0,364339.2,417049.9,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,461.0,LH_A1ICE,18.0,364939.6,417482.8
3511,Mini 14,EVA_09,39.0,413029.6,483976.5,ERANGEL,2U4GBNA0YmmyNWABCuuEotdFnf2pYAu3C5f-JJ9Qv-UyQVaC43ykt3LYzYU6W2Et,563.0,TavoO7,40.0,412326.3,481134.8
