,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
9133124,M416,MaybeDark,1.0,347792.6,241663.3,MIRAMAR,2U4GBNA0YmluPtzj3a_zUdWGg0ej3lCirGxsDtnHT3pkCGF_7XXMU-JCOLTaWklD,1908,SiguaYo,2.0,348870.2,242394.0,True,1
13293155,Bluezone,,,,,ERANGEL,2U4GBNA0YmmyZ_-7h8GPDwYn3DDrnTPxod9wtSDXFD_wI_5foxEEQqKZrFxxtYAz,1973,so1-2ko,2.0,384979.2,392877.8,True,1
1583597,M416,Ainmos,1.0,561486.1,412214.6,MIRAMAR,2U4GBNA0Ymmg6BorFRQm_q_A9PdABvROrweoDd9Szq-CLZNFUoEX0OAtIyFWz722,1953,huanhuanbaobei,2.0,562380.4,411042.6,True,1
10489671,Down and Out,CasimirG,1.0,320460.9,478782.5,ERANGEL,2U4GBNA0YmmMhWCQSjngDvAw5P5H87dTSo-ENeSk5niYF1GSFTzmSwS0wZTfH9uC,1902,MrUboat,2.0,321163.3,470482.8,True,1
8306741,SCAR-L,prosilivit,1.0,287157.8,140539.5,ERANGEL,2U4GBNA0YmlWSCwTxWKsrBbBxIuAv-Nando1f1iYnzigv8MnlCQgPZbm7YYTTt4_,1637,HaoAreYouuuu,2.0,295994.8,154906.3,True,1
5595787,SCAR-L,y0iTzaNdy,1.0,342595.2,592621.2,MIRAMAR,2U4GBNA0Ymm8ummYLNH6YU30-eeTiEq8f4p5y9oZJZmiNTq83W6FsaxW97wzOa4Z,1971,plugger1,2.0,344949.5,593777.3,True,1
1541352,Hit by Car,cArzy-Js,19.0,239286.4,283073.3,ERANGEL,2U4GBNA0Ymmh0rZAKRXhFFsLCyoiTUCz0Kj_3hRn6MKnmvEI0WYhW5sBAqbeYeIZ,197,kfkk,2.0,246007.8,277389.2,True,1
12257918,AUG,BarnettCarr,1.0,458641.5,252411.3,MIRAMAR,2U4GBNA0YmlRYqg1NHzViZNZ3MRc3Xhh2X_zJTPv7yk7OUZIsuKRb42019RJOFEG,1858,YueSeAkmEnG,2.0,453336.7,258587.7,True,1
6675004,Down and Out,HahaHaaaaa,1.0,136067.0,416861.1,ERANGEL,2U4GBNA0Ymm-D8IKZ0elcHdPyoMO5H1cFepAMn0Hnn8WbfFmRdyzFrjHznq14s-B,1870,xjxinzhichao,2.0,140918.9,417601.4,True,1
9809130,AKM,SsHao,3.0,167687.7,338232.2,ERANGEL,2U4GBNA0Ymn5sVzAnIgWePhuNhacHt7-8eKKCvLrG1wsPLQXmPeSGXbpRcPQBw3Z,1780,Devil_DV,2.0,164062.4,326899.5,True,1
