,Unnamed: 0,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
2958,1758,Bluezone,,,,,ERANGEL,2U4GBNA0YmkAe0g5_7ZyvVWZ4D_2Tmvl41s103OU7KHR-uOozlEs7lUSiNOVk9qD,2184.0,UKshorthair,2.0,628428.8,607614.9,True,1
2995,5036,M416,Surprise-M,1.0,532784.8,421716.5,MIRAMAR,2U4GBNA0YmnU2RHKXlhPQO71mPuk11VrC-gSWzsu-m9L5fsK__Ju6p3_SDIwWRHK,1873.0,Seifer258,2.0,527464.4,419629.1,True,1
3005,2019,Falling,Confused-9,3.0,546145.8,140157.4,MIRAMAR,2U4GBNA0YmmGH1I8WFVMw7sv8wSx0Ln8CnZ74JHPXcRUu4y8429D-2bOMw41cYZ5,1860.0,LTDongles,2.0,547150.1,143450.0,True,1
3009,3882,AKM,C-de-ti-0315,1.0,313659.1,132800.3,ERANGEL,2U4GBNA0YmkDstXLYHK5B7Jq1QzLWJ-HeVx4TzVSkV3lpPTNiKcc1WXBp3-XkQZp,1751.0,IamYourMailman,2.0,319329.3,129422.9,True,1
3081,1038,M416,Dongkq,1.0,485177.2,584887.2,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,1812.0,hualunmmd,2.0,486045.3,582008.8,True,1
3096,1792,UMP9,Chubchubbz,4.0,626024.2,606493.5,ERANGEL,2U4GBNA0YmkAe0g5_7ZyvVWZ4D_2Tmvl41s103OU7KHR-uOozlEs7lUSiNOVk9qD,1895.0,CZC1990,2.0,625366.2,607063.3,True,1
3212,1500,SCAR-L,Pn_King,1.0,107829.7,436492.8,ERANGEL,2U4GBNA0YmltdlEYw5AmXmDdUW5i2vyhBrlQeNFBgmYyzDpsc787A_hENiNlx6I5,1680.0,1475779086,2.0,138051.1,426127.1,True,1
3247,1677,AKM,Jatech111,9.0,503244.9,325952.1,ERANGEL,2U4GBNA0YmnZ4vJC-aEUY9riuYVJgtIdnp017vKbMe8pVLHPO6SzRFJO7xtISNWh,1494.0,BIG_-_QIAN,2.0,503236.9,326528.3,True,1
3248,6350,UMP9,Ricestation,1.0,655318.1,369699.8,ERANGEL,2U4GBNA0YmmNda7rFfvn-ZVSnpD4e14wBCKCdD6h2Pr5-Au61Oj4yf48-LIn2XhA,1916.0,Strawhotboy,2.0,653953.4,368687.9,True,1
3362,4321,M16A4,Mwmorial,1.0,568089.1,396054.8,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,1887.0,lv_lao_ge,2.0,567915.9,389149.2,True,1
